Type,Value,Concentration,SampleName
Background,0.15,,
Background,0.16,,
Background,0.17,,
Control_100,1.25,,
Control_100,1.30,,
Control_100,1.28,,
Sample,1.20,1,CompoundX
Sample,1.22,1,CompoundX
Sample,1.18,1,CompoundX
Sample,0.95,10,CompoundX
Sample,0.98,10,CompoundX
Sample,0.92,10,CompoundX
Sample,0.50,100,CompoundX
Sample,0.55,100,CompoundX
Sample,0.53,100,CompoundX
Sample,0.25,1000,CompoundX
Sample,0.23,1000,CompoundX
Sample,0.27,1000,CompoundX
Sample,0.18,10000,CompoundX
Sample,0.19,10000,CompoundX
Sample,0.17,10000,CompoundX
